order_id,customer_id,book_id,quantity,order_date,TOTAL AMOUNT
1,624,444,1,2024-03-26,329
2,36,163,1,2026-01-02,266
3,79,242,5,2024-09-30,251
4,799,-1,5,2025-12-20,307
5,44,252,5,2024-09-15,405
6,389,387,2,2025-10-16,437
7,143,118,5,2025-02-08,371
8,300,198,4,2024-11-28,359
9,490,226,2,2025-09-15,418
10,337,482,2,2026-03-18,373
11,677,36,5,2024-09-14,157
12,244,454,1,2025-06-15,418
13,506,355,1,2024-09-21,345
14,718,368,3,2024-10-28,329
15,545,466,2,2025-03-14,431
16,104,206,5,2025-01-23,239
17,341,382,1,2025-04-25,165
18,343,353,1,2026-01-05,327
19,266,287,5,2025-05-09,246
20,897,408,3,2025-05-20,86
21,930,37,2,2024-05-04,449
22,77,,3,2024-05-02,454
23,264,444,5,2026-03-18,74
24,259,347,4,2025-04-02,369
25,444,193,3,2025-05-29,457
26,667,219,5,2024-08-18,272
27,308,304,5,2025-07-21,455
28,331,133,4,2024-10-18,436
29,28,400,2,2025-12-16,337
30,779,154,1,2026-01-06,142
31,303,492,3,,125
32,241,88,1,2026-03-09,378
33,565,61,4,2025-07-22,366
34,476,434,1,2024-05-28,262
35,903,159,5,2024-11-08,467
36,824,168,3,2025-12-31,393
37,362,437,3,2024-05-23,400
38,898,369,4,2025-08-20,171
39,656,170,3,2024-10-20,477
40,132,34,4,2026-02-18,309
41,376,360,3,2025-09-01,254
42,121,363,1,2026-01-05,427
43,48,270,0,2025-10-02,94
44,557,153,3,2025-10-17,319
45,771,385,3,2024-06-11,220
46,148,373,4,2025-05-28,137
47,135,53,3,2024-06-18,264
48,854,296,5,2026-03-13,144
49,406,76,4,2025-02-23,101
50,797,44,5,2025-12-12,355
51,225,276,3,2026-02-19,375
52,209,359,5,2024-07-15,410
53,400,-1,4,2025-12-01,422
54,955,301,1,2024-08-19,449
55,94,462,3,,405
56,774,25,3,2024-08-18,357
57,53,67,4,2025-07-04,398
58,922,327,5,2025-07-30,499
59,999999,71,2,2024-07-14,307
60,151,45,3,2025-11-27,491
61,808,55,3,2026-01-19,375
62,550,268,1,2025-03-23,321
63,118,-1,1,2025-03-21,178
64,721,40,1,2026-01-02,465
65,935,163,4,2025-11-07,306
66,51,372,1,2024-12-28,240
67,461,170,4,2024-11-07,111
68,997,69,4,2025-08-24,111
69,717,38,4,2025-08-05,398
70,305,187,5,2026-03-17,375
71,242,259,1,2025-02-17,308
72,505,373,4,2024-11-22,261
73,48,196,2,2025-09-01,134
74,80,48,3,2025-04-02,254
75,841,102,5,2024-09-12,375
76,688,301,4,2024-06-15,347
77,91,43,2,2025-01-18,332
78,270,441,5,2025-04-26,170
79,358,128,1,2025-03-18,357
80,266,458,2,2024-06-13,150
81,384,485,2,2025-05-27,234
82,807,115,2,2025-11-30,379
83,724,119,5,2025-11-28,259
84,539,333,3,2024-07-27,118
85,96,223,4,,326
86,871,189,4,2025-04-08,199
87,130,221,4,2025-06-22,129
88,381,80,2,2026-03-25,183
89,27,184,3,2024-11-18,380
90,301,306,4,2025-01-20,95
91,880,266,3,2025-11-14,450
92,333,405,4,2026-03-04,194
93,35,256,3,2025-10-19,270
94,,47,2,2024-06-26,259
95,874,439,3,2025-12-19,339
96,923,450,4,2025-11-28,202
97,748,66,1,2025-05-23,205
98,157,441,5,2025-06-25,418
99,381,257,2,2024-05-29,155
100,200,351,4,2024-04-20,305
101,206,1,5,2025-06-13,83
102,18,40,2,2024-06-13,476
103,996,88,4,2025-06-23,138
104,244,153,2,2024-05-18,443
105,387,246,1,2024-04-05,143
106,277,116,5,2025-10-07,306
107,352,487,2,2025-05-15,286
108,560,33,2,2024-07-03,338
109,171,31,2,2024-10-30,445
110,34,316,3,2025-01-08,270
111,222,185,5,2024-07-10,378
112,527,210,5,2025-07-02,281
113,871,365,3,2024-04-09,328
114,996,301,2,2025-09-13,142
115,642,408,2,2024-05-07,425
116,431,279,5,2024-05-12,467
117,207,264,1,2024-07-18,213
118,874,36,4,2024-08-05,258
119,566,177,3,2024-10-28,143
120,758,417,2,2025-10-21,384
121,461,251,5,2025-07-08,278
122,942,137,2,2024-04-16,388
123,92,325,5,2024-05-21,353
124,631,291,3,2025-03-29,337
125,602,372,4,2025-01-19,119
126,663,151,2,2024-12-09,402
127,987,131,4,2024-11-25,313
128,67,345,3,2025-01-06,208
129,262,453,4,2025-06-19,314
130,132,214,2,2025-09-25,497
131,166,91,2,2026-01-02,377
132,569,57,1,2024-10-09,360
133,176,353,5,2025-06-01,361
134,549,409,2,2024-10-30,92
135,631,474,1,2025-01-26,180
136,441,127,4,2025-03-14,129
137,683,266,4,2025-11-21,458
138,979,177,5,2025-10-04,384
139,931,311,2,32-13-2020,324
140,688,363,2,2026-02-04,207
141,443,41,1,2025-05-17,202
142,606,17,2,2026-01-30,480
143,79,490,3,2025-10-11,315
144,731,38,,2026-01-25,376
145,182,180,5,2026-03-14,79
146,370,440,,2025-03-16,474
147,28,208,1,2026-01-07,156
148,165,148,2,2024-07-11,310
149,247,469,1,2024-06-22,345
150,124,92,3,2024-12-26,208
151,410,436,1,2025-09-09,207
152,10,358,4,2025-09-10,80
153,311,209,5,2026-01-31,302
154,662,133,4,2024-10-16,472
155,217,142,5,2025-04-05,132
156,341,162,2,2025-08-06,186
157,46,344,5,2025-06-06,483
158,701,472,3,2025-02-03,429
159,906,66,5,2026-02-01,282
160,875,326,0,2024-08-19,386
161,977,206,1,2025-09-07,182
162,211,426,2,2026-01-27,171
163,229,260,5,2024-07-21,304
164,954,148,4,2024-11-26,264
165,718,451,5,2024-08-05,101
166,80,4,1,2025-12-06,339
167,446,237,4,2025-10-19,443
168,76,297,1,2025-07-20,399
169,203,139,3,2024-08-19,254
170,405,41,5,2025-12-07,312
171,,223,3,2024-12-09,119
172,398,104,3,2026-01-31,214
173,535,87,2,2025-01-30,302
174,179,,1,2025-09-14,466
175,328,486,2,2024-03-27,437
176,215,,4,2025-03-23,158
177,646,105,4,2025-05-13,497
178,694,259,2,2025-01-09,241
179,628,239,5,2025-05-12,427
180,25,289,2,2024-06-07,253
181,386,392,3,2025-06-01,155
182,478,357,5,2024-10-24,143
183,405,381,,2024-09-14,102
184,949,187,1,2024-04-10,217
185,262,168,2,2025-06-11,255
186,328,252,2,2025-03-26,283
187,114,35,5,2024-05-17,324
188,910,79,5,2025-12-15,367
189,614,238,5,2025-06-17,429
190,912,496,2,2024-10-31,318
191,400,305,2,2025-08-07,335
192,929,335,4,2025-03-12,189
193,1000,222,1,2024-07-20,320
194,989,69,1,2025-09-12,185
195,322,155,4,2025-01-20,123
196,650,201,5,2024-04-04,498
197,493,355,3,2025-02-07,152
198,752,,1,2025-08-31,181
199,29,406,4,2025-06-27,327
200,124,160,3,2024-10-26,456
201,753,56,5,2025-07-12,225
202,789,308,3,2025-06-04,419
203,597,313,2,2025-02-28,161
204,999999,74,3,2025-01-25,383
205,449,500,1,2024-06-25,135
206,951,269,1,32-13-2020,332
207,413,488,4,2025-10-04,496
208,796,120,1,2025-11-14,283
209,688,136,2,2026-01-15,144
210,224,42,1,2024-05-09,220
211,930,188,1,2026-01-24,81
212,165,465,4,2025-07-25,240
213,560,266,3,2025-02-11,417
214,50,308,5,2025-02-06,247
215,701,149,1,2026-03-21,448
216,686,217,4,2025-11-28,381
217,178,251,5,2024-08-22,492
218,542,90,4,2026-01-07,115
219,350,458,3,2025-05-22,132
220,955,403,5,2025-07-01,198
221,294,209,4,2025-10-29,145
222,49,52,4,2024-11-10,455
223,350,338,5,,206
224,676,168,2,2024-06-20,342
225,919,244,4,2024-10-28,264
226,707,56,5,2024-10-26,230
227,189,39,2,2025-03-28,375
228,611,114,5,2025-07-02,330
229,692,47,2,2025-01-03,279
230,67,59,2,2025-04-29,367
231,2,31,5,2026-01-27,334
232,310,348,2,2024-04-29,258
233,677,364,2,2024-06-02,293
234,291,415,4,2025-08-26,210
235,933,142,5,2026-03-14,245
236,731,275,1,2024-12-09,442
237,,209,5,2024-12-21,467
238,384,437,3,2026-02-15,236
239,973,264,1,2025-11-07,260
240,504,386,4,2025-07-10,202
241,779,351,1,2025-01-18,298
242,871,347,3,2026-03-20,148
243,451,364,2,2025-06-27,206
244,513,27,2,2025-12-06,467
245,344,486,3,2025-12-06,205
246,752,418,4,2025-07-20,490
247,59,483,1,2025-09-28,277
248,635,449,4,2025-11-09,362
249,124,433,3,2025-04-01,433
250,670,391,3,2025-08-12,320
251,853,49,1,2024-10-16,72
252,8,446,5,2025-04-27,142
253,989,182,4,2024-07-23,223
254,714,436,4,2024-10-07,89
255,61,295,4,2025-04-10,216
256,416,50,3,2025-04-12,380
257,436,227,3,2024-05-06,156
258,257,131,2,2025-12-24,499
259,187,301,2,2024-09-14,435
260,451,7,1,2025-10-01,422
261,266,193,1,2025-05-01,496
262,4,488,2,2025-04-20,107
263,489,40,3,2025-06-26,428
264,332,402,3,2025-05-10,243
265,243,32,3,2024-04-19,387
266,88,227,1,2026-02-28,401
267,77,-1,1,2025-07-23,311
268,263,257,2,2025-06-05,217
269,35,388,2,2024-12-14,322
270,368,20,3,2024-08-27,453
271,608,398,2,2025-09-21,219
272,181,413,2,2025-10-02,352
273,431,446,2,2024-11-05,214
274,254,257,5,2025-09-20,284
275,476,3,5,2024-10-23,401
276,504,350,5,2024-12-11,101
277,463,27,2,2026-03-05,258
278,465,111,1,2025-06-13,356
279,25,209,2,2026-02-02,156
280,760,85,4,2024-07-16,336
281,830,62,5,2024-07-10,214
282,490,164,2,2024-11-30,456
283,180,408,2,2025-01-20,267
284,458,68,3,2024-09-06,92
285,83,359,1,2025-03-28,435
286,376,453,3,2025-03-16,137
287,990,219,1,2025-07-19,495
288,198,494,2,2025-09-16,437
289,869,138,5,2025-07-06,235
290,194,302,1,2025-04-17,367
291,956,-1,2,2025-07-05,405
292,435,42,1,,459
293,624,,3,2025-08-10,475
294,354,19,4,2026-02-02,437
295,,374,1,2025-05-12,144
296,119,354,3,2025-05-20,428
297,111,423,1,2024-07-11,230
298,203,435,3,2025-12-28,270
299,890,255,2,2024-11-22,498
300,804,304,4,2024-11-16,338
301,852,490,1,2025-10-28,96
302,497,201,5,2025-12-03,102
303,857,350,5,2024-06-07,171
304,120,289,3,2024-09-26,344
305,182,179,3,2025-06-18,449
306,835,175,2,2024-11-27,342
307,637,190,4,2024-11-16,242
308,823,473,2,2025-06-07,243
309,158,108,5,2025-01-02,208
310,324,355,4,2024-05-24,94
311,725,439,3,2026-01-13,336
312,966,29,3,2025-12-29,495
313,24,24,2,2026-01-05,322
314,937,102,3,2025-09-11,299
315,365,15,4,2025-09-24,371
